공원명,위도,경도
젊음과패기의 공원,37.34841938,126.7401003
평안공원,37.339462,126.741902
청원소공원,37.40750898,126.9185079
벌말소공원,37.39465369,126.977084
상평촌어린이공원,37.3956808,126.9770747
해오름공원,37.4071688,126.9689207
일직수변공원,37.4215457,126.9124943
테크노벨리소공원,37.38902732,126.9365314
명학공원,37.3838821,126.9326846
병목안문화공원(병목안캠핑장),37.38424669,126.9069008
대륭소공원,37.3976838,126.973997
덕천2어린이공원,37.3961776,126.9298729
제24호소공원,31.3733359,126.954253
제25호소공원,37.38554949,126.9536897
제26호소공원,37.38554949,126.9536897
제116호어린이공원,37.38554949,126.9536897
삼막소공원31,37.42269905,126.9121397
오비즈소공원,37.3995717,126.9701526
덕수소공원,37.4338743,126.9062409
낙원소공원,37.4171255,126.9200163
호암공원,37.4259923,126.9063456
안양친수공원,37.4098348,126.9153749
연현생태공원,37.4249474,126.8979821
삼성천 예술문화공원,37.4200413,126.9257566
창박골체육공원,37.38272589,126.9025875
샛터공원,37.3790359,126.9418886
샘모루공원,37.397752,126.931516
학의천 무릉공원,37.396571,126.9502216
소능골소공원,37.38554949,126.9536897
초롱어린이공원,37.38554949,126.9536897
동편공원,37.38554949,126.9536897
박달어린이공원,37.4010002,126.9091234
조일소공원,37.37053655,126.9476935
용강4,34.970549,127.611806
용강5,34.969177,127.6094811
4호,34.96619129,127.569187
19호,34.97285372,127.725775
25호,34.976761,127.586496
횡성어린이공원3호,37.4902337,127.991871
둔내근린공원8호,37.5156806,128.2099556
우천근린공원6호,37.447921,128.075702
우천근린공원5호,37.460232,128.0595521
우천근린공원4호,37.460605,128.0587845
횡성근린공원3호,37.47914988,127.9774419
횡성근린공원2호,37.493699,127.985311
교리근린공원,35.2553411,129.2143411
호성어린이공원,37.3653805,126.9609049
송암어린이공원,37.3657373,126.9608008
병목안시민공원,37.38528888,126.9076745
수풀내어린이공원,37.4006248,126.930542
꽃메산어린이공원,37.408172,126.8998527
동산어린이공원,37.4263322,126.9032993
삼덕공원,37.3973809,126.9164109
한신어린이공원,37.40438616,126.9066752
친목어린이공원,37.4094747,126.8857092
금성어린이공원,37.3738754,126.9510827
솔개어린이공원,37.43433219,126.9019246
연현어린이공원,37.4317291,126.9008699
덕천1어린이공원,37.3957556,126.9293086
주접어린이공원,37.3914655,126.9333509
횡성어린이공원17호,37.489421,127.979229
횡성어린이공원16호,37.49448755,127.9879243
횡성어린이공원15호,37.496922,127.985546
횡성어린이공원14호,37.4784564,127.9826341
횡성어린이공원12호,37.486387,127.986582
횡성어린이공원11호,37.488057,127.983077
횡성어린이공원8호,37.488214,127.986558
횡성어린이공원7호,37.4922077,127.9820784
횡성어린이공원5호,37.49271911,127.9903796
관골1공원,36.4718685,127.1301712
무궁화공원,37.5423345,127.1454038
희망공원,37.539039,127.142255
성심공원,37.53831458,127.137376
샘물공원,37.5510159,127.1447414
